candidate_id,job_id,role,candidate_skills_list,recruiter_priority_list,recruiter_skill_weights_dict,experience_years
c103,j180,financial analyst,"['sales', 'support', 'docker', 'seo', 'c', 'node', 'crm', 'git']","['seo', 'sales', 'prototyping', 'git']","{'seo': 5, 'sales': 4, 'prototyping': 3, 'git': 2}",11
c200,j190,devops engineer,"['ml', 'node', 'java', 'git', 'python', 'networking']","['git', 'java', 'cloud', 'node', 'networking', 'python']","{'git': 5, 'java': 4, 'cloud': 3, 'node': 2, 'networking': 1, 'python': 1}",6
c187,j086,hr coordinator,"['sql', 'excel', 'figma']","['git', 'docker', 'prototyping']","{'git': 5, 'docker': 4, 'prototyping': 3}",0
c093,j003,product manager,"['git', 'embedded']","['embedded', 'crm', 'git', 'excel', 'docker']","{'embedded': 5, 'crm': 4, 'git': 3, 'excel': 2, 'docker': 1}",7
c116,j075,software engineer,"['ml', 'teamwork', 'support', 'firewall']","['excel', 'teamwork', 'ml', 'support', 'firewall']","{'excel': 5, 'teamwork': 4, 'ml': 3, 'support': 2, 'firewall': 1}",12
c192,j049,software engineer,"['cloud', 'docker', 'prototyping', 'communication', 'node', 'sales']","['prototyping', 'ios', 'communication', 'node', 'docker']","{'prototyping': 5, 'ios': 4, 'communication': 3, 'node': 2, 'docker': 1}",5
c188,j101,software engineer,"['networking', 'sales', 'security', 'communication', 'sql', 'seo']","['networking', 'seo', 'sales', 'communication', 'prototyping', 'ops']","{'networking': 5, 'seo': 4, 'sales': 3, 'communication': 2, 'prototyping': 1, 'ops': 1}",0
c016,j024,cybersecurity analyst,"['c', 'prototyping', 'firewall', 'figma', 'crm', 'communication', 'seo', 'java']","['c', 'prototyping', 'java']","{'c': 5, 'prototyping': 4, 'java': 3}",12
c187,j019,software engineer,"['cloud', 'ux research', 'marketing', 'android', 'embedded']","['prototyping', 'python', 'ux research', 'linux', 'java']","{'prototyping': 5, 'python': 4, 'ux research': 3, 'linux': 2, 'java': 1}",6
c126,j058,product manager,"['communication', 'teamwork', 'sales', 'android', 'finance', 'figma', 'embedded', 'docker']","['finance', 'teamwork', 'android', 'ml', 'docker']","{'finance': 5, 'teamwork': 4, 'android': 3, 'ml': 2, 'docker': 1}",0
c011,j085,mobile developer,"['ml', 'react', 'accounting', 'git', 'android', 'figma']","['embedded', 'ml']","{'embedded': 5, 'ml': 4}",1
c191,j052,embedded engineer,"['figma', 'networking', 'cloud']","['cloud', 'figma']","{'cloud': 5, 'figma': 4}",0
c008,j113,data scientist,"['sql', 'support', 'firewall', 'git', 'security']","['communication', 'python', 'finance', 'node', 'ux research', 'java']","{'communication': 5, 'python': 4, 'finance': 3, 'node': 2, 'ux research': 1, 'java': 1}",7
c036,j152,customer support,"['firewall', 'git', 'ml', 'ios', 'crm', 'ux research', 'ops', 'accounting']","['ops', 'git', 'networking']","{'ops': 5, 'git': 4, 'networking': 3}",1
c076,j035,software engineer,"['git', 'figma', 'cloud', 'excel', 'marketing', 'sql', 'security']","['marketing', 'android', 'ux research', 'embedded', 'figma']","{'marketing': 5, 'android': 4, 'ux research': 3, 'embedded': 2, 'figma': 1}",2
c027,j069,product manager,"['ux research', 'python', 'sales', 'support']","['support', 'ux research', 'sales', 'python']","{'support': 5, 'ux research': 4, 'sales': 3, 'python': 2}",8
c001,j063,network engineer,"['marketing', 'embedded']","['teamwork', 'marketing', 'embedded', 'android']","{'teamwork': 5, 'marketing': 4, 'embedded': 3, 'android': 2}",5
c104,j049,cybersecurity analyst,"['linux', 'cloud', 'finance']","['node', 'prototyping']","{'node': 5, 'prototyping': 4}",6
c176,j007,mobile developer,"['docker', 'accounting']","['c', 'seo']","{'c': 5, 'seo': 4}",8
c153,j122,hr coordinator,"['excel', 'teamwork', 'firewall', 'communication', 'crm', 'cloud', 'ios', 'support']","['networking', 'docker', 'react', 'c', 'ux research', 'finance']","{'networking': 5, 'docker': 4, 'react': 3, 'c': 2, 'ux research': 1, 'finance': 1}",11
c172,j179,operations associate,"['seo', 'crm', 'ml', 'finance', 'cloud', 'git', 'node', 'embedded']","['prototyping', 'networking', 'embedded']","{'prototyping': 5, 'networking': 4, 'embedded': 3}",11
c160,j096,data scientist,"['ux research', 'accounting', 'finance', 'embedded']","['teamwork', 'marketing', 'finance', 'embedded']","{'teamwork': 5, 'marketing': 4, 'finance': 3, 'embedded': 2}",10
c163,j178,data analyst,"['accounting', 'linux', 'ml', 'teamwork']","['ml', 'android']","{'ml': 5, 'android': 4}",4
c166,j188,cybersecurity analyst,"['teamwork', 'networking', 'cloud', 'node', 'c', 'prototyping', 'ops', 'figma']","['finance', 'python', 'docker', 'linux', 'java', 'ml']","{'finance': 5, 'python': 4, 'docker': 3, 'linux': 2, 'java': 1, 'ml': 1}",2
c058,j026,data analyst,"['seo', 'sales', 'security', 'embedded']","['seo', 'sales', 'security']","{'seo': 5, 'sales': 4, 'security': 3}",5
c088,j072,marketing analyst,"['android', 'sales', 'python', 'support', 'teamwork', 'figma', 'ux research', 'java']","['sales', 'seo', 'android', 'teamwork', 'java', 'support']","{'sales': 5, 'seo': 4, 'android': 3, 'teamwork': 2, 'java': 1, 'support': 1}",2
c127,j041,hr coordinator,"['figma', 'excel', 'react', 'linux', 'sql', 'security', 'python', 'android']","['react', 'linux', 'security']","{'react': 5, 'linux': 4, 'security': 3}",0
c087,j042,hr coordinator,"['support', 'linux', 'sales']","['support', 'linux', 'sales']","{'support': 5, 'linux': 4, 'sales': 3}",3
c008,j171,hr coordinator,"['sql', 'figma', 'ux research', 'excel']","['ml', 'excel']","{'ml': 5, 'excel': 4}",5
c119,j171,mobile developer,"['c', 'support', 'seo']","['react', 'networking', 'c']","{'react': 5, 'networking': 4, 'c': 3}",9
