candidate_id,job_id,role,candidate_skills,recruiter_skills,recruiter_priority_list,recruiter_skill_weights,experience_years
c103,j180,financial analyst,sales|support|docker|seo|c|node|crm|git,git|prototyping|sales|seo,seo|sales|prototyping|git,"{""seo"": 5, ""sales"": 4, ""prototyping"": 3, ""git"": 2}",11
c200,j190,devops engineer,ml|node|java|git|python|networking,networking|git|java|cloud|python|node,git|java|cloud|node|networking|python,"{""git"": 5, ""java"": 4, ""cloud"": 3, ""node"": 2, ""networking"": 1, ""python"": 1}",6
c187,j086,HR coordinator,sql|excel|figma,git|docker|prototyping,git|docker|prototyping,"{""git"": 5, ""docker"": 4, ""prototyping"": 3}",0
c093,j003,product manager,git|embedded,embedded|crm|excel|git|docker,embedded|crm|git|excel|docker,"{""embedded"": 5, ""crm"": 4, ""git"": 3, ""excel"": 2, ""docker"": 1}",7
c116,j075,software engineer,ml|teamwork|support|firewall,support|firewall|excel|ml|teamwork,excel|teamwork|ml|support|firewall,"{""excel"": 5, ""teamwork"": 4, ""ml"": 3, ""support"": 2, ""firewall"": 1}",12
c192,j049,software engineer,cloud|docker|prototyping|communication|node|sales,prototyping|ios|node|communication|docker,prototyping|ios|communication|node|docker,"{""prototyping"": 5, ""ios"": 4, ""communication"": 3, ""node"": 2, ""docker"": 1}",5
c188,j101,software engineer,networking|sales|security|communication|sql|seo,prototyping|ops|communication|sales|networking|seo,networking|seo|sales|communication|prototyping|ops,"{""networking"": 5, ""seo"": 4, ""sales"": 3, ""communication"": 2, ""prototyping"": 1, ""ops"": 1}",0
c016,j024,cybersecurity analyst,c|prototyping|firewall|figma|crm|communication|seo|java,c|prototyping|java,c|prototyping|java,"{""c"": 5, ""prototyping"": 4, ""java"": 3}",12
c187,j019,software engineer,cloud|ux research|marketing|android|embedded,python|ux research|prototyping|linux|java,prototyping|python|ux research|linux|java,"{""prototyping"": 5, ""python"": 4, ""ux research"": 3, ""linux"": 2, ""java"": 1}",6
c126,j058,product manager,communication|teamwork|sales|android|finance|figma|embedded|docker,docker|ml|finance|teamwork|android,finance|teamwork|android|ml|docker,"{""finance"": 5, ""teamwork"": 4, ""android"": 3, ""ml"": 2, ""docker"": 1}",0
c011,j085,mobile developer,ml|react|accounting|git|android|figma,ml|embedded,embedded|ml,"{""embedded"": 5, ""ml"": 4}",1
c191,j052,embedded engineer,figma|networking|cloud,cloud|figma,cloud|figma,"{""cloud"": 5, ""figma"": 4}",0
c008,j113,data scientist,sql|support|firewall|git|security,node|ux research|finance|java|communication|python,communication|python|finance|node|ux research|java,"{""communication"": 5, ""python"": 4, ""finance"": 3, ""node"": 2, ""ux research"": 1, ""java"": 1}",7
c036,j152,customer support,firewall|git|ml|ios|crm|ux research|ops|accounting,ops|networking|git,ops|git|networking,"{""ops"": 5, ""git"": 4, ""networking"": 3}",1
c076,j035,software engineer,git|figma|cloud|excel|marketing|sql|security,embedded|ux research|marketing|android|figma,marketing|android|ux research|embedded|figma,"{""marketing"": 5, ""android"": 4, ""ux research"": 3, ""embedded"": 2, ""figma"": 1}",2
c027,j069,product manager,ux research|python|sales|support,python|sales|ux research|support,support|ux research|sales|python,"{""support"": 5, ""ux research"": 4, ""sales"": 3, ""python"": 2}",8
